Title,Desc,Type,BodyPart,Equipment,Level,Rating,RatingDesc,combined_text
Advanced Kettlebell Windmill,,Strength,Abdominals,Kettlebells,Beginner,8.3,Average,advanced kettlebell windmill 
Kettlebell Windmill,"The single-kettlebell windmill is a dynamic kettlebell exercise emphasizing core strength and shoulder and hip mobility and stability. It is often used as a functional warm-up or for multi-directional strength work. It doesn't work as well in a metcon or conditioning setting, and shouldn't be performed under intense fatigue.",Strength,Abdominals,Kettlebells,Intermediate,7.7,Average,"kettlebell windmill the single-kettlebell windmill is a dynamic kettlebell exercise emphasizing core strength and shoulder and hip mobility and stability. it is often used as a functional warm-up or for multi-directional strength work. it doesn't work as well in a metcon or conditioning setting, and shouldn't be performed under intense fatigue."
Kettlebell Pass Between The Legs,,Strength,Abdominals,Kettlebells,Beginner,7.3,Average,kettlebell pass between the legs 
Kettlebell 3-point leg extension,"The kettlebell 3-point leg extension is a dynamic core exercise performed around and over a kettlebell or other short, stationary object. It is similar in some ways to a V-up or reverse crunch, but targets both the obliques and the rectus abdominis or ""six-pack"" muscles. It can be performed for reps or for time, usually in dedicated ab training or as part of a kettlebell and bodyweight circuit workout.",Strength,Abdominals,Kettlebells,Intermediate,0.0,,"kettlebell 3-point leg extension the kettlebell 3-point leg extension is a dynamic core exercise performed around and over a kettlebell or other short, stationary object. it is similar in some ways to a v-up or reverse crunch, but targets both the obliques and the rectus abdominis or ""six-pack"" muscles. it can be performed for reps or for time, usually in dedicated ab training or as part of a kettlebell and bodyweight circuit workout."
Double Kettlebell Swing,,Strength,Abdominals,Kettlebells,Intermediate,,,double kettlebell swing 
Burpee over kettlebell,"The burpee over kettlebell is a more advanced version of a popular conditioning exercise. If you're performing a circuit that already has both burpees and kettlebell movements, it's a simple way to provide a novel stimulus to the muscles of the lower body and create a more athletic style of training.",Strength,Abdominals,Kettlebells,Intermediate,,,"burpee over kettlebell the burpee over kettlebell is a more advanced version of a popular conditioning exercise. if you're performing a circuit that already has both burpees and kettlebell movements, it's a simple way to provide a novel stimulus to the muscles of the lower body and create a more athletic style of training."
Kettlebell toe-touch,"The kettlebell toe-touch is a more difficult version of a highly popular abdominal movement usually done for high reps. The simple addition of a weight makes the toe-touch far more difficult, providing a different stimulus to the core during training.",Strength,Abdominals,Kettlebells,Intermediate,,,"kettlebell toe-touch the kettlebell toe-touch is a more difficult version of a highly popular abdominal movement usually done for high reps. the simple addition of a weight makes the toe-touch far more difficult, providing a different stimulus to the core during training."
Kettlebell swing,"The kettlebell swing is a popular lower-body exercise emphasizing the hamstrings, glutes, and back muscles. It is often used to train explosive power, for aerobic or cardiovascular conditioning, in circuit training, or as an accessory movement for the deadlift.",Strength,Abdominals,Kettlebells,Intermediate,,,"kettlebell swing the kettlebell swing is a popular lower-body exercise emphasizing the hamstrings, glutes, and back muscles. it is often used to train explosive power, for aerobic or cardiovascular conditioning, in circuit training, or as an accessory movement for the deadlift."
Two-way swing,"The two-way kettlebell swing is an exercise that alternates a chest-height kettlebell swing (sometimes called a ""Russian"" or ""hardstyle"" swing) with an overhead kettlebell swing (sometimes called an ""American"" swing). Both swing variations work many of the same muscles, such as the hamstrings, glutes, and core, but because the weight must travel farther in the overhead swing, it's slightly more metabolically demanding and works the upper back and shoulders more. This combo can be performed for time or reps and works especially well in circuit-style or full-body training. If you can't perform the overhead swing without lower back or shoulder pain, just perform the chest-height swing.",Strength,Abdominals,Kettlebells,Intermediate,,,"two-way swing the two-way kettlebell swing is an exercise that alternates a chest-height kettlebell swing (sometimes called a ""russian"" or ""hardstyle"" swing) with an overhead kettlebell swing (sometimes called an ""american"" swing). both swing variations work many of the same muscles, such as the hamstrings, glutes, and core, but because the weight must travel farther in the overhead swing, it's slightly more metabolically demanding and works the upper back and shoulders more. this combo can be performed for time or reps and works especially well in circuit-style or full-body training. if you can't perform the overhead swing without lower back or shoulder pain, just perform the chest-height swing."
Kettlebell crab reach,"The kettlebell crab reach is a kettlebell pressing exercise in which the lifter presses a kettlebell overhead while in a modified single-arm bridge position. The simple addition of a weight makes the reach far more difficult, challenging the muscles of the back, shoulders, glutes, and core.",Strength,Abdominals,Kettlebells,Intermediate,,,"kettlebell crab reach the kettlebell crab reach is a kettlebell pressing exercise in which the lifter presses a kettlebell overhead while in a modified single-arm bridge position. the simple addition of a weight makes the reach far more difficult, challenging the muscles of the back, shoulders, glutes, and core."
Taylor Single-Arm Kettlebell Swing,,Strength,Abdominals,Kettlebells,Intermediate,,,taylor single-arm kettlebell swing 
Holman Kettlebell Up to Elbow Down,,Strength,Abdominals,Kettlebells,Intermediate,,,holman kettlebell up to elbow down 
FYR2 Double-Kettlebell Ski,,Strength,Abdominals,Kettlebells,Intermediate,,,fyr2 double-kettlebell ski 
FYR2 Kettlebell Hike,,Strength,Abdominals,Kettlebells,Intermediate,,,fyr2 kettlebell hike 
FYR2 Kettlebell Cross-Body Catch,,Strength,Abdominals,Kettlebells,Intermediate,,,fyr2 kettlebell cross-body catch 
FYR2 Kettlebell Duck Walk,,Strength,Abdominals,Kettlebells,Intermediate,,,fyr2 kettlebell duck walk 
FYR2 Kettlebell Get-Up Reach,,Strength,Abdominals,Kettlebells,Intermediate,,,fyr2 kettlebell get-up reach 
FYR2 Kettlebell Juggle,,Strength,Abdominals,Kettlebells,Intermediate,,,fyr2 kettlebell juggle 
FYR2 Squat-Clean-Alternating-Press Complex,,Strength,Abdominals,Kettlebells,Intermediate,,,fyr2 squat-clean-alternating-press complex 
Dumbbell V-Sit Cross Jab,"The dumbbell V-sit cross jab is a hybrid movement that trains the abdominal and shoulder muscles simultaneously. It can address multiple muscle groups in a time-efficient muscle-building or circuit-style workout, while also providing a cardiovascular challenge.",Strength,Abdominals,Dumbbell,Intermediate,9.3,Average,"dumbbell v-sit cross jab the dumbbell v-sit cross jab is a hybrid movement that trains the abdominal and shoulder muscles simultaneously. it can address multiple muscle groups in a time-efficient muscle-building or circuit-style workout, while also providing a cardiovascular challenge."
Dumbbell spell caster,"The dumbbell spell caster is an exercise that primarily targets the abdominal muscles such as the obliques. However, it also works shoulders, back, hips, and legs, and demands all of those muscles work together in a coordinated motion. It is usually performed with relatively light weights for moderate to high reps, at least 8-12 reps per side. Make sure to only use a weight you can control.",Strength,Abdominals,Dumbbell,Beginner,9.3,Average,"dumbbell spell caster the dumbbell spell caster is an exercise that primarily targets the abdominal muscles such as the obliques. however, it also works shoulders, back, hips, and legs, and demands all of those muscles work together in a coordinated motion. it is usually performed with relatively light weights for moderate to high reps, at least 8-12 reps per side. make sure to only use a weight you can control."
Dumbbell side bend,"The dumbbell side bend is a popular exercise for targeting the oblique muscles of the abdomen. It is usually performed for relatively high reps, at least 8-12 reps per set or more. It can be performed one side at a time or alternating sides.",Strength,Abdominals,Dumbbell,Intermediate,8.6,Average,"dumbbell side bend the dumbbell side bend is a popular exercise for targeting the oblique muscles of the abdomen. it is usually performed for relatively high reps, at least 8-12 reps per set or more. it can be performed one side at a time or alternating sides."
Dumbbell crunch,"The dumbbell crunch is a more difficult version of a highly popular abdominal movement. The simple addition of a weight makes the crunch far more difficult, providing a different stimulus to the core during training.",Strength,Abdominals,Dumbbell,Intermediate,,,"dumbbell crunch the dumbbell crunch is a more difficult version of a highly popular abdominal movement. the simple addition of a weight makes the crunch far more difficult, providing a different stimulus to the core during training."
Dumbbell Fix Dumbbell Sprawl,,Strength,Abdominals,Dumbbell,Intermediate,,,dumbbell fix dumbbell sprawl 
Dumbbell Fix Alternating Renegade Row,,Strength,Abdominals,Dumbbell,Intermediate,,,dumbbell fix alternating renegade row 
Dumbbell Fix Dumbbell Mountain Climber,,Strength,Abdominals,Dumbbell,Intermediate,,,dumbbell fix dumbbell mountain climber 
Dumbbell Fix Dumbbell Russian Twist,,Strength,Abdominals,Dumbbell,Intermediate,,,dumbbell fix dumbbell russian twist 
Dumbbell Fix Dumbbell Pull-Over,,Strength,Abdominals,Dumbbell,Intermediate,,,dumbbell fix dumbbell pull-over 
Dumbbell Fix Dumbbell Sit-Up,,Strength,Abdominals,Dumbbell,Intermediate,,,dumbbell fix dumbbell sit-up 
Dumbbell Fix Dumbbell Front Squat,,Strength,Abdominals,Dumbbell,Intermediate,,,dumbbell fix dumbbell front squat 
Dumbbell Fix Full Man Maker,,Strength,Abdominals,Dumbbell,Intermediate,,,dumbbell fix full man maker 
Dumbbell T-hold,"The dumbbell T-hold is a static exercise that primarily targets the obliques, although it also works the shoulders and upper back. It involves holding a dumbbell in the air while in a side plank position. It is usually performed for timed holds, although it can be performed dynamically for reps as a plank with dumbbell rotation.",Strength,Abdominals,Dumbbell,Intermediate,,,"dumbbell t-hold the dumbbell t-hold is a static exercise that primarily targets the obliques, although it also works the shoulders and upper back. it involves holding a dumbbell in the air while in a side plank position. it is usually performed for timed holds, although it can be performed dynamically for reps as a plank with dumbbell rotation."
Dumbbell hollow-body floor press,The dumbbell hollow-body floor press combines upper-body strength and core work in one move.,Strength,Abdominals,Dumbbell,Intermediate,,,dumbbell hollow-body floor press the dumbbell hollow-body floor press combines upper-body strength and core work in one move.
Dumbbell crusher,"The dumbbell crusher is a dumbbell complex that combines a squat with a dumbbell curl, followed by a triceps press. It targets the legs, glutes, biceps, shoulders, and triceps in a single sequence, making it a great way to burn serious calories and hit a lot of muscles in a short period of time. The upper-body movements will determine the amount of weight you can effectively use.",Strength,Abdominals,Dumbbell,Intermediate,,,"dumbbell crusher the dumbbell crusher is a dumbbell complex that combines a squat with a dumbbell curl, followed by a triceps press. it targets the legs, glutes, biceps, shoulders, and triceps in a single sequence, making it a great way to burn serious calories and hit a lot of muscles in a short period of time. the upper-body movements will determine the amount of weight you can effectively use."
Dumbbell Crunch - Gethin Variation,"The dumbbell crunch is a more difficult version of a highly popular abdominal movement. The simple addition of a weight makes the crunch far more difficult, providing a different stimulus to the core during training.",Strength,Abdominals,Dumbbell,Intermediate,,,"dumbbell crunch - gethin variation the dumbbell crunch is a more difficult version of a highly popular abdominal movement. the simple addition of a weight makes the crunch far more difficult, providing a different stimulus to the core during training."
Single-arm dumbbell crunch,"The single-arm dumbbell crunch is a more difficult version of a highly popular abdominal movement. Adding a weight to one side makes the crunch far more difficult to your rectus abdominis or ""six-pack"" muscles, as well as the obliques and deep core muscles.",Strength,Abdominals,Dumbbell,Intermediate,,,"single-arm dumbbell crunch the single-arm dumbbell crunch is a more difficult version of a highly popular abdominal movement. adding a weight to one side makes the crunch far more difficult to your rectus abdominis or ""six-pack"" muscles, as well as the obliques and deep core muscles."
HM Alternating Dumbbell Plank Row,,Strength,Abdominals,Dumbbell,Intermediate,,,hm alternating dumbbell plank row 
Dumbbell straight-legged hip raise,The dumbbell straight-legged hip raise works the hips and glutes. It requires and teaches body control and coordination.,Strength,Abdominals,Dumbbell,Intermediate,,,dumbbell straight-legged hip raise the dumbbell straight-legged hip raise works the hips and glutes. it requires and teaches body control and coordination.
Seated leg tuck with dumbbell,The seated leg tuck with dumbbell is an ab exercise requiring only a bench and a dumbbell. It's commonly performed for high reps as a burnout at the end of a core workout.,Strength,Abdominals,Dumbbell,Intermediate,,,seated leg tuck with dumbbell the seated leg tuck with dumbbell is an ab exercise requiring only a bench and a dumbbell. it's commonly performed for high reps as a burnout at the end of a core workout.
Dumbbell V-sit cross jab-,"The dumbbell V-sit cross jab is a hybrid movement that trains the abdominal and shoulder muscles simultaneously. It can address multiple muscle groups in a time-efficient muscle-building or circuit-style workout, while also providing a cardiovascular challenge.",Strength,Abdominals,Dumbbell,Intermediate,,,"dumbbell v-sit cross jab- the dumbbell v-sit cross jab is a hybrid movement that trains the abdominal and shoulder muscles simultaneously. it can address multiple muscle groups in a time-efficient muscle-building or circuit-style workout, while also providing a cardiovascular challenge."
30 Hanging Leg Raise With Dumbbell,,Strength,Abdominals,Dumbbell,Intermediate,,,30 hanging leg raise with dumbbell 
Dumbbell Get-Up Sit-Up,,Strength,Abdominals,Dumbbell,Expert,,,dumbbell get-up sit-up 
Holman Right Side Plank with Left Triceps Press,,Strength,Abdominals,Dumbbell,Intermediate,,,holman right side plank with left triceps press 
Holman Left Side Plank with Right Triceps Press,,Strength,Abdominals,Dumbbell,Intermediate,,,holman left side plank with right triceps press 
Holman Boat with Feet Push-Out and Overhead Press,,Strength,Abdominals,Dumbbell,Intermediate,,,holman boat with feet push-out and overhead press 
Holman Hovering Plank Row,,Strength,Abdominals,Dumbbell,Intermediate,,,holman hovering plank row 
Holman Weighted Seated Killer Abs to Russian Twist,,Strength,Abdominals,Dumbbell,Intermediate,,,holman weighted seated killer abs to russian twist 
Holman Straight Plank Dumbbell Reach-Under,,Strength,Abdominals,Dumbbell,Intermediate,,,holman straight plank dumbbell reach-under 
Holman Straight-Arm Side Plank Overhead Press to Chest Press,,Strength,Abdominals,Dumbbell,Intermediate,,,holman straight-arm side plank overhead press to chest press 
Holman Weighted Burpee to Pike,,Strength,Abdominals,Dumbbell,Intermediate,,,holman weighted burpee to pike 
Holman Straight-Legged Boat Chest Press,,Strength,Abdominals,Dumbbell,Intermediate,,,holman straight-legged boat chest press 
Holman Weighted Burpee to Side Delt Raise,,Strength,Abdominals,Dumbbell,Intermediate,,,holman weighted burpee to side delt raise 
Holman Heavy Double Pike,,Strength,Abdominals,Dumbbell,Intermediate,,,holman heavy double pike 
Holman Heavy Double Split Pike,,Strength,Abdominals,Dumbbell,Intermediate,,,holman heavy double split pike 
MetaBurn Alternating Dumbbell Sit-Through,,Strength,Abdominals,Dumbbell,Intermediate,,,metaburn alternating dumbbell sit-through 
MetaBurn Alternating Plank Row With Dumbbell Pull-Through,,Strength,Abdominals,Dumbbell,Intermediate,,,metaburn alternating plank row with dumbbell pull-through 
MetaBurn Alternating Plank Row With Push-Up,,Strength,Abdominals,Dumbbell,Intermediate,,,metaburn alternating plank row with push-up 
MetaBurn Dumbbell Russian Twist,,Strength,Abdominals,Dumbbell,Intermediate,,,metaburn dumbbell russian twist 
MetaBurn Dumbbell Toe-Touch,,Strength,Abdominals,Dumbbell,Intermediate,,,metaburn dumbbell toe-touch 
MetaBurn Plank To Alternating Row,,Strength,Abdominals,Dumbbell,Intermediate,,,metaburn plank to alternating row 
Standing dumbbell knee crunch-,"The standing dumbbell knee crunch is a great way to train the abs while standing up. Additionally, the deltoids are worked because the lifter holds a pair of dumbbells overhead throughout.",Strength,Abdominals,Dumbbell,Intermediate,,,"standing dumbbell knee crunch- the standing dumbbell knee crunch is a great way to train the abs while standing up. additionally, the deltoids are worked because the lifter holds a pair of dumbbells overhead throughout."
MetaBurn Plank With Dumbbell Rotation,,Strength,Abdominals,Dumbbell,Intermediate,,,metaburn plank with dumbbell rotation 
FYR2 Dumbbell Crab Reach,,Strength,Abdominals,Dumbbell,Intermediate,,,fyr2 dumbbell crab reach 
FYR2 Dumbbell Man-Maker,,Strength,Abdominals,Dumbbell,Intermediate,,,fyr2 dumbbell man-maker 
FYR2 Dumbbell Sit-Up Reach,,Strength,Abdominals,Dumbbell,Intermediate,,,fyr2 dumbbell sit-up reach 
FYR2 Loaded Beast Sprawl,,Strength,Abdominals,Dumbbell,Intermediate,,,fyr2 loaded beast sprawl 
FYR2 Loaded to Unloaded Beast,,Strength,Abdominals,Dumbbell,Intermediate,,,fyr2 loaded to unloaded beast 
Lying Leg Pullover,,Strength,Abdominals,Dumbbell,Intermediate,,,lying leg pullover 
Landmine twist,"The landmine twist is a rotational abdominal movement performed using an angled barbell anchored at floor level in a landmine device. It can also be performed by sticking a barbell in the corner of a room, preferably in a towel to protect the walls. It targets the deep muscles of the core, including both the obliques and the transversus abdominis. It can be done fast or slow, for time or reps, either in traditional muscle-focused rep ranges such as 8-12 reps per side or for higher rep ranges.",Strength,Abdominals,Other,Intermediate,9.5,Average,"landmine twist the landmine twist is a rotational abdominal movement performed using an angled barbell anchored at floor level in a landmine device. it can also be performed by sticking a barbell in the corner of a room, preferably in a towel to protect the walls. it targets the deep muscles of the core, including both the obliques and the transversus abdominis. it can be done fast or slow, for time or reps, either in traditional muscle-focused rep ranges such as 8-12 reps per side or for higher rep ranges."
Suspended ab fall-out,"The suspended ab fall-out is a dynamic abdominal exercise utilizing a suspension strap system or gymnastic rings. It is similar in form to an ab roller, but can more easily be scaled to be more or less difficult. It targets the muscles of the rectus abdominis or ""six-pack"" muscles, as well as the deep core muscles. It can be trained for low reps for strength or higher reps for muscle definition.",Strength,Abdominals,Other,Intermediate,9.3,Average,"suspended ab fall-out the suspended ab fall-out is a dynamic abdominal exercise utilizing a suspension strap system or gymnastic rings. it is similar in form to an ab roller, but can more easily be scaled to be more or less difficult. it targets the muscles of the rectus abdominis or ""six-pack"" muscles, as well as the deep core muscles. it can be trained for low reps for strength or higher reps for muscle definition."
Decline reverse crunch,"The decline reverse crunch is a popular bodyweight exercise targeting the abdominal muscles, particularly the lower abs. It is usually performed for high reps, such as 10-15 reps per set or more, as part of the ab-focused portion of a workout.",Strength,Abdominals,Other,Intermediate,9.2,Average,"decline reverse crunch the decline reverse crunch is a popular bodyweight exercise targeting the abdominal muscles, particularly the lower abs. it is usually performed for high reps, such as 10-15 reps per set or more, as part of the ab-focused portion of a workout."
Plate Twist,,Strength,Abdominals,Other,Beginner,9.0,Average,plate twist 
Weighted Crunches,"The weighted suitcase crunch is a weighted version of a popular abdominal training exercise. The simple addition of a weight makes the suitcase crunch far more difficult, helping build the ""six pack"" muscles and providing a different stimulus to the core during training.",Strength,Abdominals,Other,Intermediate,8.9,Average,"weighted crunches the weighted suitcase crunch is a weighted version of a popular abdominal training exercise. the simple addition of a weight makes the suitcase crunch far more difficult, helping build the ""six pack"" muscles and providing a different stimulus to the core during training."
Ab Roller,"The ab wheel roll-out is an exercise targeting the abdominals, often with an inexpensive wheel device with a handle on either side. Many trainers and strength coaches claim it's one of, if no the best exercise for developing strength in the midsection. Beginners may have to start with a limited range of motion or just wheel planks.",Strength,Abdominals,Other,Intermediate,8.9,Average,"ab roller the ab wheel roll-out is an exercise targeting the abdominals, often with an inexpensive wheel device with a handle on either side. many trainers and strength coaches claim it's one of, if no the best exercise for developing strength in the midsection. beginners may have to start with a limited range of motion or just wheel planks."
Otis-Up,"The Otis-up is a weighted exercise focusing on the abdominal muscles, as well as the shoulders to a lesser degree. It primarily targets the rectus abdominus or “six-pack” muscles, but also involves the obliques and deep core muscles. It is normally performed on a decline bench holding a weight plate, but can also be performed with a dumbbell, kettlebell, or other weight.",Strength,Abdominals,Other,Intermediate,8.8,Average,"otis-up the otis-up is a weighted exercise focusing on the abdominal muscles, as well as the shoulders to a lesser degree. it primarily targets the rectus abdominus or “six-pack” muscles, but also involves the obliques and deep core muscles. it is normally performed on a decline bench holding a weight plate, but can also be performed with a dumbbell, kettlebell, or other weight."
